metric,value
generated_at,2026-08-22T21:23:35.348030Z
total_publications,1766182
total_families,1085162
publication_completeness.abstract_complete_pct,85.41
publication_completeness.citations_complete_pct,51.43
publication_completeness.claims_complete_pct,14.2
publication_completeness.description_complete_pct,9.39
publication_completeness.title_complete_pct,95.57
family_completeness.abstract_complete_pct,91.12
family_completeness.citations_complete_pct,54.29
family_completeness.claims_complete_pct,18.11
family_completeness.description_complete_pct,9.5
family_completeness.title_complete_pct,94.51
counts_by_authority.AP,81
counts_by_authority.AR,797
counts_by_authority.AT,11445
counts_by_authority.AU,22424
counts_by_authority.BE,3637
counts_by_authority.BG,117
counts_by_authority.BR,8522
counts_by_authority.CA,26177
counts_by_authority.CG,1
counts_by_authority.CH,4481
counts_by_authority.CL,695
counts_by_authority.CN,738081
counts_by_authority.CO,170
counts_by_authority.CR,35
counts_by_authority.CS,290
counts_by_authority.CU,40
counts_by_authority.CY,77
counts_by_authority.CZ,601
counts_by_authority.DD,877
counts_by_authority.DE,88169
counts_by_authority.DK,5312
counts_by_authority.DO,13
counts_by_authority.DZ,2
counts_by_authority.EA,546
counts_by_authority.EC,22
counts_by_authority.EE,31
counts_by_authority.EG,40
counts_by_authority.EP,104317
counts_by_authority.ES,14510
counts_by_authority.FI,3883
counts_by_authority.FR,24266
counts_by_authority.GB,32705
counts_by_authority.GE,9
counts_by_authority.GR,325
counts_by_authority.GT,5
counts_by_authority.HK,681
counts_by_authority.HN,2
counts_by_authority.HR,191
counts_by_authority.HU,979
counts_by_authority.ID,42
counts_by_authority.IE,400
counts_by_authority.IL,1349
counts_by_authority.IN,322
counts_by_authority.IS,40
counts_by_authority.IT,7776
counts_by_authority.JO,8
counts_by_authority.JP,147612
counts_by_authority.KE,5
counts_by_authority.KR,90694
counts_by_authority.LT,80
counts_by_authority.LU,448
counts_by_authority.LV,13
counts_by_authority.MA,140
counts_by_authority.MC,2
counts_by_authority.MD,5
counts_by_authority.ME,5
counts_by_authority.MT,2
counts_by_authority.MX,3516
counts_by_authority.MY,583
counts_by_authority.NI,1
counts_by_authority.NL,5297
counts_by_authority.NO,2657
counts_by_authority.NZ,793
counts_by_authority.OA,44
counts_by_authority.PA,1
counts_by_authority.PE,216
counts_by_authority.PH,225
counts_by_authority.PL,3423
counts_by_authority.PT,1052
counts_by_authority.PY,1
counts_by_authority.RO,113
counts_by_authority.RS,131
counts_by_authority.RU,5083
counts_by_authority.SA,101
counts_by_authority.SE,5024
counts_by_authority.SG,994
counts_by_authority.SI,356
counts_by_authority.SK,115
counts_by_authority.SM,22
counts_by_authority.SU,2200
counts_by_authority.SV,1
counts_by_authority.TH,1
counts_by_authority.TN,8
counts_by_authority.TR,223
counts_by_authority.TW,12854
counts_by_authority.UA,222
counts_by_authority.US,320191
counts_by_authority.UY,19
counts_by_authority.WO,55289
counts_by_authority.YU,165
counts_by_authority.ZA,1749
counts_by_authority.ZM,5
counts_by_authority.ZW,8
counts_by_cpc.A01B1/00,33
counts_by_cpc.A01B1/02,121
counts_by_cpc.A01B1/022,14
counts_by_cpc.A01B1/024,2
counts_by_cpc.A01B1/026,13
counts_by_cpc.A01B1/028,48
counts_by_cpc.A01B1/04,3
counts_by_cpc.A01B1/06,6
counts_by_cpc.A01B1/065,8
counts_by_cpc.A01B1/08,9
counts_by_cpc.A01B1/12,2
counts_by_cpc.A01B1/16,9
counts_by_cpc.A01B1/18,12
counts_by_cpc.A01B1/20,51
counts_by_cpc.A01B1/22,5
counts_by_cpc.A01B1/222,2
counts_by_cpc.A01B1/225,2
counts_by_cpc.A01B1/227,20
counts_by_cpc.A01B1/24,1
counts_by_cpc.A01B1/246,1
counts_by_cpc.A01B13/00,9
