item,identifier,type,office,first_named_inventor,date,concise_description,copy_filed,translation_filed
1,SU 1181867 A1,foreign,SU,,"September 30, 1985",yes,yes,not required
2,WO 2021119698 A1,foreign,WO,Gerhard Angerer,"June 24, 2021",yes,yes,not required
3,U.S. Patent Application Publication No. US 2012/0025053 A1,us_pgpub,US,Peter Tell,"February 2, 2012",yes,not required,not required
4,U.S. Patent Application Publication No. US 2019/0240847 A1,us_pgpub,US,Sascha Quast,"August 8, 2019",yes,not required,not required
5,"U.S. Patent No. 10,647,550",us_patent,US,Norman Paul,"May 12, 2020",yes,not required,not required
6,U.S. Patent Application Publication No. US 2014/0008929 A1,us_pgpub,US,Ho-Young Cho,"January 9, 2014",yes,not required,not required
7,U.S. Patent Application Publication No. US 2005/0258657 A1,us_pgpub,US,Gunter Gebauer,"November 24, 2005",yes,not required,not required
8,"U.S. Patent No. 12,290,918",us_patent,US,Min Xu,"May 6, 2025",yes,not required,not required
9,U.S. Patent Application Publication No. US 2023/0349480 A1,us_pgpub,US,Georg Preisenberger,"November 2, 2023",yes,not required,not required
10,U.S. Patent Application Publication No. US 2025/0354568 A1,us_pgpub,US,,"November 20, 2025",yes,not required,not required
