item,identifier,type,office,first_named_inventor,date,concise_description,copy_filed,translation_filed
1,"U.S. Patent No. 12,570,007",us_patent,US,Cengiz Kizilkan,"March 10, 2026",yes,not required,not required
2,WO 2010135788 A1,foreign,WO,Franz Kocijan,"December 2, 2010",yes,yes,not required
3,"U.S. Patent No. 2,379,596",us_patent,US,James W Seamans,"July 3, 1945",yes,not required,not required
4,"U.S. Patent No. 4,837,540",us_patent,US,Cardone Michele,"June 6, 1989",yes,not required,not required
5,"U.S. Patent No. 3,320,564",us_patent,US,William F Sosey,"May 16, 1967",yes,not required,not required
6,U.S. Patent Application Publication No. US 2024/0087784 A1,us_pgpub,US,David H. Morton,"March 14, 2024",yes,not required,not required
7,JP 2007301640 A,foreign,JP,Takeshi Ide,"November 22, 2007",yes,yes,yes
8,GB 874600 A,foreign,GB,Joseph Crawford Williamson,"August 10, 1961",yes,yes,not required
9,U.S. Patent Application Publication No. US 2025/0319560 A1,us_pgpub,US,David H. Morton,"October 16, 2025",yes,not required,not required
10,JP S6165742 A,foreign,JP,Takashi Nakayama,"April 4, 1986",yes,yes,yes
